pair_index,activity_a,activity_b,week,status,recomputed_overlap_count,recomputed_overlap_example,shared_group_locations,different_group_locations,connected_by_co_share,forced_same_night,different_local_nights_same_contract_type
1,A031,A046,10,co_share_chain_exempt_if_global,5,PLAT:ALP:S05:WB,PLAT:ALP:S06:WB,,True,True,False
1,A031,A046,11,co_share_chain_exempt_if_global,5,PLAT:ALP:S05:WB,PLAT:ALP:S06:WB,,True,True,False
2,A003,A041,11,contradictory_possession_data,7,PLAT:BET:H02:EB,PLAT:BET:S15:EB,PLAT:BET:S16:EB | SEC:BET:S15_S16:EB,True,True,False
2,A003,A041,12,contradictory_possession_data,7,PLAT:BET:H02:EB,PLAT:BET:S15:EB,PLAT:BET:S16:EB | SEC:BET:S15_S16:EB,True,True,False
3,A031,A069,11,possible_conflict_night_unknown,1,PLAT:ALP:S05:WB,,,False,False,False
4,A046,A069,11,possible_conflict_night_unknown,3,PLAT:ALP:H02:WB,,,False,False,False
4,A046,A069,12,possible_conflict_night_unknown,3,PLAT:ALP:H02:WB,,,False,False,False
5,A003,A040,13,contradictory_possession_data,11,PLAT:BET:H01:EB,PLAT:BET:H01:EB | PLAT:BET:H02:EB | PLAT:BET:S16:EB | SEC:BET:H01_H02:EB,PLAT:BET:S15:EB | SEC:BET:H02_S15:EB | SEC:BET:S15_S16:EB,True,True,False
5,A003,A040,14,contradictory_possession_data,11,PLAT:BET:H01:EB,PLAT:BET:H01:EB | PLAT:BET:H02:EB | SEC:BET:H01_H02:EB,PLAT:BET:S15:EB | PLAT:BET:S16:EB | SEC:BET:H02_S15:EB | SEC:BET:S15_S16:EB,True,True,False
5,A003,A040,16,contradictory_possession_data,11,PLAT:BET:H01:EB,PLAT:BET:H01:EB | PLAT:BET:H02:EB | PLAT:BET:S15:EB | SEC:BET:H01_H02:EB | SEC:BET:H02_S15:EB | SEC:BET:S15_S16:EB,PLAT:BET:S16:EB,True,True,False
6,A003,A007,16,contradictory_possession_data,7,PLAT:BET:H01:EB,PLAT:BET:H01:EB | PLAT:BET:H02:EB | SEC:BET:H01_H02:EB,,True,True,True
7,A003,A011,16,co_share_chain_exempt_if_global,7,PLAT:BET:H02:EB,PLAT:BET:S15:EB | PLAT:BET:S16:EB | SEC:BET:S15_S16:EB,,True,True,False
8,A007,A011,16,co_share_chain_exempt_if_global,3,PLAT:BET:H02:EB,,,True,True,False
9,A007,A040,16,co_share_chain_exempt_if_global,7,PLAT:BET:H01:EB,PLAT:BET:H01:EB | PLAT:BET:H02:EB | SEC:BET:H01_H02:EB,,True,True,False
9,A007,A040,17,co_share_chain_exempt_if_global,7,PLAT:BET:H01:EB,PLAT:BET:H01:EB | PLAT:BET:H02:EB | SEC:BET:H01_H02:EB,,True,True,False
9,A007,A040,20,co_share_chain_exempt_if_global,7,PLAT:BET:H01:EB,PLAT:BET:H01:EB | PLAT:BET:H02:EB | SEC:BET:H01_H02:EB,,True,True,False
9,A007,A040,22,co_share_chain_exempt_if_global,7,PLAT:BET:H01:EB,PLAT:BET:H01:EB | PLAT:BET:H02:EB | SEC:BET:H01_H02:EB,,True,True,False
